Country Name,Country Code,Year,women_parliament,arms_imports,tax_gdp,military_population,mil_spending,Region,IncomeGroup,system,gov1rlc,log_arms,Center,Left,Right
Ireland,IRL,2002,13.3,22000000,23.5231751,0.538165409,1.909995347,Europe & Central Asia,High income,Parliamentary,Center,16.90655301,1,0,0
"Korea, Rep.",KOR,2002,5.9,528000000,13.64515711,2.921075089,13.65655564,East Asia & Pacific,High income,Presidential,Center,20.08460684,1,0,0
Peru,PER,2002,17.5,16000000,12.48714263,1.42780179,7.919371278,Latin America & Caribbean,Upper middle income,Presidential,Center,16.58809928,1,0,0
Philippines,PHL,2002,17.8,5000000,12.09116828,0.477819888,6.918755856,East Asia & Pacific,Lower middle income,Presidential,Center,15.42494847,1,0,0
Finland,FIN,2006,38,136000000,21.42026756,1.202502106,2.988710315,Europe & Central Asia,High income,Parliamentary,Center,18.72816544,1,0,0
Ireland,IRL,2006,13.3,13000000,26.80739475,0.446014614,1.515475772,Europe & Central Asia,High income,Parliamentary,Center,16.38045992,1,0,0
"Korea, Rep.",KOR,2006,13.4,1651000000,14.28949254,2.822085379,12.28354713,East Asia & Pacific,High income,Presidential,Center,21.224647,1,0,0
Peru,PER,2006,29.2,193000000,15.6699876,1.362260874,7.704450329,Latin America & Caribbean,Upper middle income,Presidential,Center,19.07820075,1,0,0
Philippines,PHL,2006,15.3,23000000,13.71187088,0.425292855,6.886946066,East Asia & Pacific,Lower middle income,Presidential,Center,16.95100477,1,0,0
Chile,CHL,2012,14.2,62000000,18.99486687,1.253263387,8.861280029,Latin America & Caribbean,High income,Presidential,Center,17.94264494,1,0,0
Philippines,PHL,2012,22.9,16000000,12.88795126,0.408664911,6.127201193,East Asia & Pacific,Lower middle income,Presidential,Center,16.58809928,1,0,0
Canada,CAN,2002,20.6,436000000,13.42525802,0.363584101,2.764948287,North America,High income,Parliamentary,Left,19.8931528,0,1,0
Chile,CHL,2002,12.5,74000000,16.20169514,1.829113404,10.91109416,Latin America & Caribbean,High income,Presidential,Left,18.11957565,0,1,0
Germany,DEU,2002,32.2,71000000,10.8367605,0.731646535,2.984868799,Europe & Central Asia,High income,Parliamentary,Left,18.07819044,0,1,0
Finland,FIN,2002,36.5,12000000,22.46689924,1.330315411,2.430583158,Europe & Central Asia,High income,Parliamentary,Left,16.30041721,0,1,0
France,FRA,2002,12.1,43000000,22.66956958,1.298859911,4.614219253,Europe & Central Asia,High income,Parliamentary,Left,17.57671067,0,1,0
United Kingdom,GBR,2002,17.9,720000000,24.78966505,0.711073692,6.291443869,Europe & Central Asia,High income,Parliamentary,Left,20.39476177,0,1,0
Greece,GRC,2002,8.7,400000000,21.26687719,3.712577788,6.719609939,Europe & Central Asia,High income,Parliamentary,Left,19.80697511,0,1,0
