Country Name,Country Code,Year,women_parliament,arms_imports,tax_gdp,military_population,mil_spending,Region,IncomeGroup
Aruba,ABW,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Afghanistan,AFG,1990,3.7,1900000000,NA,1.42597727385599,NA,South Asia,Low income
Angola,AGO,1990,14.5,140000000,NA,2.37269217001268,NA,Sub-Saharan Africa,Lower middle income
Albania,ALB,1990,28.8,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Andorra,AND,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
United Arab Emirates,ARE,1990,0,559000000,NA,7.18579303391803,NA,Middle East & North Africa,High income
Argentina,ARG,1990,6.3,169000000,4.83851314669697,0.637640567863185,NA,Latin America & Caribbean,Upper middle income
Armenia,ARM,1990,35.6,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
American Samoa,ASM,1990,NA,NA,NA,NA,NA,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,1990,0,NA,NA,NA,NA,Latin America & Caribbean,High income
Australia,AUS,1990,6.1,352000000,22.4768790778869,0.800179145989979,6.79190522886154,East Asia & Pacific,High income
Austria,AUT,1990,11.5,5000000,17.9810832815335,1.20506238299685,2.54508548676712,Europe & Central Asia,High income
Azerbaijan,AZE,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Burundi,BDI,1990,NA,6000000,NA,0.467392189175431,17.281877484456203,Sub-Saharan Africa,Low income
Belgium,BEL,1990,8.5,321000000,NA,2.68431426026757,4.27783584246926,Europe & Central Asia,High income
Benin,BEN,1990,2.9,NA,NA,0.307035095134824,9.2393439910657,Sub-Saharan Africa,Low income
Burkina Faso,BFA,1990,NA,NA,NA,0.258748881881394,17.154131328275902,Sub-Saharan Africa,Low income
Bangladesh,BGD,1990,10.3,187000000,NA,0.304248891898951,10.2820063762895,South Asia,Lower middle income
Bulgaria,BGR,1990,21,758000000,23.8331284450966,3.203962780384,NA,Europe & Central Asia,Upper middle income
Bahrain,BHR,1990,NA,362000000,5.18737424547284,3.68629619389918,14.285714285714299,Middle East & North Africa,High income
"Bahamas, The",BHS,1990,4.1,2000000,13.8629185091598,NA,NA,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Belarus,BLR,1990,NA,NA,NA,NA,NA,Europe & Central Asia,Upper middle income
Belize,BLZ,1990,0,NA,21.4561776945606,1.61352781721957,NA,Latin America & Caribbean,Upper middle income
Bermuda,BMU,1990,NA,NA,NA,NA,NA,North America,High income
Bolivia,BOL,1990,9.2,NA,7.23622455957132,1.05856100628221,12.364506022539599,Latin America & Caribbean,Lower middle income
Brazil,BRA,1990,5.3,150000000,12.0091242848293,0.491055605255747,NA,Latin America & Caribbean,Upper middle income
Barbados,BRB,1990,3.7,NA,NA,NA,NA,Latin America & Caribbean,High income
Brunei Darussalam,BRN,1990,NA,3000000,NA,3.63329185325134,14.691444600280501,East Asia & Pacific,High income
Bhutan,BTN,1990,2,NA,4.41394270965256,NA,NA,South Asia,Lower middle income
Botswana,BWA,1990,5,22000000,27.5016129375315,1.3935469485967,10.2720848056537,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,1990,3.8,NA,NA,0.347030030243667,NA,Sub-Saharan Africa,Low income
Canada,CAN,1990,13.3,160000000,14.163120475269,0.593257525932002,3.9819086372728103,North America,High income
Switzerland,CHE,1990,14,440000000,8.09388438631098,0.577109275378971,5.56785170839674,Europe & Central Asia,High income
Channel Islands,CHI,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Chile,CHL,1990,NA,130000000,13.3073843505649,1.86282326356439,14.8528411666919,Latin America & Caribbean,High income
China,CHN,1990,21.3,303000000,NA,0.545610848649256,13.9671958514538,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1990,5.7,NA,18.0109074301712,0.340839218869223,NA,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,1990,14.4,8000000,9.76735861979995,0.440724812193744,NA,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,1990,5.4,4000000,NA,0.407430163136519,NA,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,1990,14.3,44000000,NA,1.01895713134131,NA,Sub-Saharan Africa,Lower middle income
Colombia,COL,1990,4.5,13000000,NA,0.775615823098671,9.10071869210253,Latin America & Caribbean,Upper middle income
Comoros,COM,1990,0,NA,NA,NA,NA,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,1990,12,NA,NA,0.89126559714795,NA,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1990,10.5,NA,13.0573346474185,0.681540725040062,0,Latin America & Caribbean,Upper middle income
Cuba,CUB,1990,33.9,169000000,NA,7.23123543100841,NA,Latin America & Caribbean,Upper middle income
Curacao,CUW,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Cayman Islands,CYM,1990,NA,NA,NA,NA,NA,Latin America & Caribbean,High income
Cyprus,CYP,1990,1.8,70000000,30.8059028384927,2.92356628309477,NA,Europe & Central Asia,High income
Czech Republic,CZE,1990,NA,NA,NA,NA,NA,Europe & Central Asia,High income
Germany,DEU,1990,NA,716000000,9.83228367915116,1.40132471725188,NA,Europe & Central Asia,High income
Djibouti,DJI,1990,0,NA,NA,1.97158939679222,16.222241778873002,Middle East & North Africa,Lower middle income
Dominica,DMA,1990,10,NA,NA,NA,NA,Latin America & Caribbean,Upper middle income
Denmark,DNK,1990,30.7,124000000,29.724606837575,1.07962890020294,3.48803573327661,Europe & Central Asia,High income
Dominican Republic,DOM,1990,7.5,NA,10.2967892812138,0.859624188678504,NA,Latin America & Caribbean,Upper middle income
Algeria,DZA,1990,2.4,735000000,NA,1.95451835781368,5.68261540620177,Middle East & North Africa,Upper middle income
Ecuador,ECU,1990,4.5,3000000,NA,1.3023623378436,NA,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,1990,3.9,562000000,13.2348643006263,2.80143126026775,NA,Middle East & North Africa,Lower middle income
Eritrea,ERI,1990,NA,NA,NA,NA,NA,Sub-Saharan Africa,Low income
